UF,Municipio,Regiao,PIB,Ano
MG,Juvenília,Sudeste,,2021
GO,Uirapuru,Centro-Oeste,59.303,2020
SP,Aramina,Sudeste,155.702,2020
PB,São Miguel de Taipu,Nordeste,,2021
GO,São Miguel do Passa Quatro,Centro-Oeste,197.893,2020
SP,Pedra Bela,Sudeste,107.472,2020
BA,Ibiquera,Nordeste,,2021
SC,Anita Garibaldi,Sul,180.856,2020
PB,Barra de Santana,Nordeste,81.099,2020
MG,Fortuna de Minas,Sudeste,,2021
PE,Santa Cruz,Nordeste,,2021
PR,Itaguajé,Sul,,2021
BA,Ibiquera,Nordeste,34.365,2020
RS,Tio Hugo,Sul,102.228,2020
TO,Santa Fé do Araguaia,Norte,148.488,2020
MG,Lagamar,Sudeste,,2021
PA,Nova Ipixuna,Norte,,2021
AM,Maraã,Norte,148.833,2020
MA,Carolina,Nordeste,,2021
AM,Barreirinha,Norte,,2021
PI,Murici dos Portelas,Nordeste,,2021
AL,Mar Vermelho,Nordeste,54.831,2020
BA,Dom Basílio,Nordeste,130.013,2020
MA,Jenipapo dos Vieiras,Nordeste,,2021
PB,Nova Floresta,Nordeste,90.757,2020
RS,Ajuricaba,Sul,,2021
GO,Hidrolina,Centro-Oeste,76.055,2020
MG,Carrancas,Sudeste,,2021
GO,São Miguel do Araguaia,Centro-Oeste,546.766,2020
MG,Felisburgo,Sudeste,,2021
PA,Itupiranga,Norte,658.373,2020
RN,Pedro Velho,Nordeste,,2021
MG,Machacalis,Sudeste,104.428,2020
PB,Sossêgo,Nordeste,35.749,2020
PE,Trindade,Nordeste,344.865,2020
MG,Juvenília,Sudeste,58.277,2020
PE,Santa Terezinha,Nordeste,92.572,2020
BA,Presidente Dutra,Nordeste,,2021
MG,Ouro Verde de Minas,Sudeste,59.457,2020
MG,Nova Porteirinha,Sudeste,108.650,2020
BA,Novo Horizonte,Nordeste,95.646,2020
BA,Boa Nova,Nordeste,105.774,2020
SE,Carira,Nordeste,423.278,2020
MA,Amapá do Maranhão,Nordeste,54.930,2020
MG,Marilac,Sudeste,54.837,2020
MG,Jampruca,Sudeste,66.473,2020
PR,Reserva do Iguaçu,Sul,238.382,2020
MA,Bom Lugar,Nordeste,,2021
SP,Itaporanga,Sudeste,,2021
MG,Olímpio Noronha,Sudeste,41.033,2020
MA,Zé Doca,Nordeste,456.162,2020
AP,Itaubal,Norte,,2021
PI,Várzea Grande,Nordeste,39.979,2020
PI,Várzea Branca,Nordeste,,2021
MG,Campo Azul,Sudeste,,2021
GO,Novo Brasil,Centro-Oeste,71.556,2020
PR,Iracema do Oeste,Sul,,2021
MA,São Roberto,Nordeste,,2021
PE,Salgadinho,Nordeste,,2021
PR,Planaltina do Paraná,Sul,99.063,2020
MA,Coelho Neto,Nordeste,388.461,2020
AP,Itaubal,Norte,80.823,2020
BA,Mundo Novo,Nordeste,183.063,2020
PE,Tupanatinga,Nordeste,200.473,2020
RN,Severiano Melo,Nordeste,59.067,2020
MA,Coelho Neto,Nordeste,,2021
PE,Salgadinho,Nordeste,77.727,2020
MS,Rio Negro,Centro-Oeste,110.410,2020
PR,Lupionópolis,Sul,126.205,2020
PB,Taperoá,Nordeste,132.671,2020
PI,Agricolândia,Nordeste,,2021
PB,Livramento,Nordeste,,2021
PE,Condado,Nordeste,243.216,2020
RS,Chapada,Sul,,2021
MG,Crisólita,Sudeste,,2021
PB,Sertãozinho,Nordeste,52.575,2020
RN,São Rafael,Nordeste,,2021
BA,Ponto Novo,Nordeste,124.334,2020
PR,Lobato,Sul,,2021
AL,Major Isidoro,Nordeste,208.851,2020
PR,Carlópolis,Sul,401.277,2020
PI,Dom Expedito Lopes,Nordeste,78.767,2020
